sentence_id_1,sentence_id_2,similarity,sentence_1,sentence_2
S11,S12,0.779,"The adapter , awarded with the `` Certified Integration for SAP -« ; NetWeaver '' endorsement , integrates Basware s invoice automation and procurement solutions with more than 200 different ERP systems .","Operating profit was EUR 9.8 mn , compared to a loss of EUR 12.7 mn in the corresponding period in 2009 ."
S01,S11,0.7844,Finnish pharmaceuticals company Orion 's net sales rose to EUR 190mn in the first quarter of 2009 from EUR 180mn in the first quarter of 2008 .,"The adapter , awarded with the `` Certified Integration for SAP -« ; NetWeaver '' endorsement , integrates Basware s invoice automation and procurement solutions with more than 200 different ERP systems ."
S10,S12,0.7983,"W+ñrtsil+ñ 's solution has been selected for its low fuel consumption , environmentally sound technology , and global service support .","Operating profit was EUR 9.8 mn , compared to a loss of EUR 12.7 mn in the corresponding period in 2009 ."
S01,S05,0.8056,Finnish pharmaceuticals company Orion 's net sales rose to EUR 190mn in the first quarter of 2009 from EUR 180mn in the first quarter of 2008 .,Finnish mobile operator DNA will function as a subcontractor to Maingate and will be responsible for telecommunications connections .
S02,S05,0.8074,The loss for the third quarter of 2007 was EUR 0.3 mn smaller than the loss of the second quarter of 2007 .,Finnish mobile operator DNA will function as a subcontractor to Maingate and will be responsible for telecommunications connections .
S05,S12,0.8094,Finnish mobile operator DNA will function as a subcontractor to Maingate and will be responsible for telecommunications connections .,"Operating profit was EUR 9.8 mn , compared to a loss of EUR 12.7 mn in the corresponding period in 2009 ."
S09,S11,0.8114,This will bring cost savings of about EUR 3mn a year .,"The adapter , awarded with the `` Certified Integration for SAP -« ; NetWeaver '' endorsement , integrates Basware s invoice automation and procurement solutions with more than 200 different ERP systems ."
S04,S15,0.8219,Alma Media expects its net sales to increase as forecast previously .,Poyry has a good track record of major transportation projects in Latin America .
S06,S12,0.8221,Self-service and automation are in a bigger role now and Fujitsu 's global resources will be exploited effectively .,"Operating profit was EUR 9.8 mn , compared to a loss of EUR 12.7 mn in the corresponding period in 2009 ."
S01,S06,0.8224,Finnish pharmaceuticals company Orion 's net sales rose to EUR 190mn in the first quarter of 2009 from EUR 180mn in the first quarter of 2008 .,Self-service and automation are in a bigger role now and Fujitsu 's global resources will be exploited effectively .
